wav_path,bonafide_prediction_score
Standardized_full_data/new_evaluation_wav/arabic85.wav,0.96148574
Standardized_full_data/new_evaluation_wav/common_voice_en_17270731.wav,0.9965341
Standardized_full_data/new_evaluation_wav/spanish6.wav,0.99997765
Standardized_full_data/new_evaluation_wav/common_voice_en_18128784.wav,0.9986175
Standardized_full_data/new_evaluation_wav/french60.wav,0.99994963
Standardized_full_data/new_evaluation_wav/common_voice_en_17936033.wav,0.9999845
Standardized_full_data/new_evaluation_wav/english122.wav,0.99998724
Standardized_full_data/new_evaluation_wav/common_voice_en_17392963.wav,0.99959797
Standardized_full_data/new_evaluation_wav/common_voice_en_17935729.wav,0.0632438
Standardized_full_data/new_evaluation_wav/common_voice_en_120723.wav,0.96038854
Standardized_full_data/new_evaluation_wav/english56.wav,0.999989
Standardized_full_data/new_evaluation_wav/spanish122.wav,0.9998461
Standardized_full_data/new_evaluation_wav/common_voice_en_123979.wav,0.9999815
Standardized_full_data/new_evaluation_wav/common_voice_en_142076.wav,0.9999801
Standardized_full_data/new_evaluation_wav/common_voice_en_17331139.wav,0.99998385
Standardized_full_data/new_evaluation_wav/common_voice_en_17822156.wav,0.999986
Standardized_full_data/new_evaluation_wav/common_voice_en_17252797.wav,0.9133079
Standardized_full_data/new_evaluation_wav/common_voice_en_18106601.wav,0.99995047
Standardized_full_data/new_evaluation_wav/5f93182b42e8f12450049c20cd3799db.wav,0.72116715
Standardized_full_data/new_evaluation_wav/common_voice_en_17281015.wav,0.9999834
Standardized_full_data/new_evaluation_wav/common_voice_en_17260025.wav,0.9999856
Standardized_full_data/new_evaluation_wav/common_voice_en_17251931.wav,0.99997526
Standardized_full_data/new_evaluation_wav/42ce59a719a83089d172f8024fc24f92.wav,0.98476297
Standardized_full_data/new_evaluation_wav/french46.wav,0.99998766
Standardized_full_data/new_evaluation_wav/arabic77.wav,0.98624206
Standardized_full_data/new_evaluation_wav/common_voice_en_17822141.wav,0.9999863
Standardized_full_data/new_evaluation_wav/common_voice_en_17776286.wav,0.0024921051
Standardized_full_data/new_evaluation_wav/common_voice_en_17896085.wav,0.99998343
Standardized_full_data/new_evaluation_wav/arabic93.wav,0.99528486
Standardized_full_data/new_evaluation_wav/0a7df1919244d090046e04b3c6412b70.wav,0.99992865
Standardized_full_data/new_evaluation_wav/common_voice_en_18172305.wav,0.99997145
Standardized_full_data/new_evaluation_wav/common_voice_en_17147817.wav,0.9999823
Standardized_full_data/new_evaluation_wav/common_voice_en_17586970.wav,0.9999802
Standardized_full_data/new_evaluation_wav/common_voice_en_17254897.wav,0.002869988
Standardized_full_data/new_evaluation_wav/italian29.wav,0.9999802
