file_name,speaker,age,gender,accent,native_language,country,region,source,spoof_or_real,train_or_val
44784e541ed8d06b757a9dfb02a21ab2,n/a,46 - 65,female,n/a,urdu,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
b1e1dcbc6c82eba5ff40d583220ed8c5,n/a,31 - 45,female,n/a,hindi,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
f87e9ee30d7a221b60bd038686c6ab42,n/a,31 - 45,female,n/a,hindi,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
dfc0f92fe4eb00a4fc817dc2f8ef7170,n/a,18 - 22,female,n/a,marathi,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
5699242804b7856dd2be333128378080,n/a,46 - 65,female,n/a,urdu,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
d7f8d001e96656ed4f3fe3e411b76d83,n/a,46 - 65,female,n/a,urdu,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
b6563848c86c328f4b61b7364f90eb3a,n/a,31 - 45,female,n/a,hindi,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
f9ecf27c7e0826266cc0e26077e527c9,n/a,46 - 65,female,n/a,nepali,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
ccd7636ce8034eec68e99f397de9150b,n/a,31 - 45,female,n/a,hindi,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
f6a88eab5ffca523fc4b485116c4ae16,n/a,46 - 65,female,n/a,urdu,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
8276063c69d227d12430315c579c3dda,n/a,31 - 45,female,n/a,hindi,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
1ca36f3a2c145f0da65849bb05042296,n/a,46 - 65,female,n/a,urdu,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
8a22dda286a4a72ada0cb1b2c53fc308,n/a,46 - 65,female,n/a,urdu,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
d717b49484691712837bfc2d6ca256a0,n/a,31 - 45,female,n/a,urdu,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
0898f261415e44156ca863c0c8c6cac7,n/a,31 - 45,female,n/a,hindi,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
9a84462284159ccc362616be3c1c8229,n/a,31 - 45,female,n/a,urdu,"Asian, South Asian or Asian American","south asia (india, pakistan, bangladesh, sri lanka, nepal)",asr_fairness,real,train
