wav_path,prediction_score
mozilla_evaluation_wav/common_voice_en_17840377.wav,0.059319526
mozilla_evaluation_wav/common_voice_en_17921951.wav,0.9980331
mozilla_evaluation_wav/common_voice_en_17391698.wav,5.298915e-05
mozilla_evaluation_wav/common_voice_en_17627093.wav,0.9940777
mozilla_evaluation_wav/common_voice_en_144205.wav,0.00035203615
mozilla_evaluation_wav/common_voice_en_142106.wav,0.9928081
mozilla_evaluation_wav/common_voice_en_144239.wav,0.0006268206
mozilla_evaluation_wav/common_voice_en_17384726.wav,0.99877447
mozilla_evaluation_wav/common_voice_en_17248476.wav,0.9996679
mozilla_evaluation_wav/common_voice_en_149494.wav,0.007920893
mozilla_evaluation_wav/common_voice_en_17822121.wav,0.90224516
mozilla_evaluation_wav/common_voice_en_17822109.wav,0.9166207
mozilla_evaluation_wav/common_voice_en_17298521.wav,0.9999881
mozilla_evaluation_wav/common_voice_en_172600.wav,0.00016351146
mozilla_evaluation_wav/common_voice_en_17403770.wav,0.43059167
mozilla_evaluation_wav/common_voice_en_17392540.wav,0.00018066994
mozilla_evaluation_wav/common_voice_en_17252995.wav,0.00042047957
mozilla_evaluation_wav/common_voice_en_17248715.wav,0.9997073
mozilla_evaluation_wav/common_voice_en_17256517.wav,0.90172696
mozilla_evaluation_wav/common_voice_en_17250166.wav,0.98525375
mozilla_evaluation_wav/common_voice_en_17885610.wav,0.0033294521
mozilla_evaluation_wav/common_voice_en_17453378.wav,0.98271424
mozilla_evaluation_wav/common_voice_en_17258710.wav,0.0012778388
mozilla_evaluation_wav/common_voice_en_17576852.wav,0.00029767025
mozilla_evaluation_wav/common_voice_en_17822120.wav,0.96115047
mozilla_evaluation_wav/common_voice_en_17441797.wav,0.013295202
mozilla_evaluation_wav/common_voice_en_17270711.wav,0.9991105
mozilla_evaluation_wav/common_voice_en_17258089.wav,6.229035e-08
mozilla_evaluation_wav/common_voice_en_17272674.wav,0.8241527
mozilla_evaluation_wav/common_voice_en_18129850.wav,0.9987864
